resultId;raceId;driverId;constructorId;grid;position
6552;307;127;41;15;12
6553;307;90;22;13;13
6554;307;131;25;6;0
6555;307;110;17;11;0
6556;307;92;17;13;0
6557;307;122;41;22;0
6558;307;103;26;17;0
6559;307;119;3;2;0
6560;307;138;25;10;0
6561;307;81;18;8;0
6562;307;55;6;7;0
6563;307;88;26;20;0
6564;307;137;22;14;0
6565;307;95;3;4;0
6566;307;117;6;3;0
6567;307;99;39;0;0
6568;307;120;39;0;0
6569;307;133;29;0;0
6570;307;105;29;0;0
6571;307;139;35;0;0
6572;307;129;36;0;0
6573;307;78;40;0;0
6574;307;142;42;0;0
6575;308;102;1;1;1
6576;308;95;3;5;2
6577;308;55;6;9;3
6578;308;90;22;8;4
6579;308;117;6;7;5
6580;308;139;35;12;6
6581;308;123;27;16;7
6582;308;92;17;23;8
6583;308;103;26;13;9
6584;308;100;27;26;10
6585;308;109;35;21;11
6586;308;94;18;14;12
6587;308;57;32;25;0
6588;308;81;18;17;0
6589;308;127;41;15;0
6590;308;131;25;2;0
6591;308;119;3;3;0
6592;308;87;34;19;0
6593;308;105;29;22;0
6594;308;138;25;11;0
6595;308;88;26;20;0
6596;308;110;17;10;0
6597;308;122;41;18;0
6598;308;99;39;24;0
6599;308;77;1;6;0
6600;308;137;22;4;0
6601;308;141;32;0;0
6602;308;120;39;0;0
6603;308;133;29;0;0
6604;308;84;34;0;0
6605;308;78;40;0;0
6606;308;128;40;0;0
6607;308;142;42;0;0
6608;308;129;36;0;0
6609;309;137;22;8;1
6610;309;131;25;9;2
6611;309;119;3;1;3
6612;309;110;17;11;4
6613;309;92;17;14;5
6614;309;95;3;2;6
6615;309;94;18;18;7
6616;309;100;27;26;8
6617;309;139;35;10;9
6618;309;138;25;12;10
6619;309;127;41;23;0
6620;309;109;35;17;0
6621;309;140;29;25;0
6622;309;122;41;13;0
6623;309;55;6;7;0
6624;309;103;26;19;0
6625;309;117;6;4;0
6626;309;123;27;16;0
6627;309;102;1;3;0
6628;309;57;32;24;0
6629;309;84;34;20;0
6630;309;81;18;15;0
6631;309;90;22;5;0
6632;309;77;1;6;0
6633;309;88;26;22;0
6634;309;105;29;21;0
6635;309;120;39;0;0
6636;309;99;39;0;0
6637;309;87;34;0;0
6638;309;65;32;0;0
6639;309;129;36;0;0
6640;309;78;40;0;0
6641;309;128;40;0;0
6642;309;142;42;0;0
6643;310;119;3;1;1
6644;310;95;3;2;2
6645;310;102;1;3;3
6646;310;110;17;11;4
